Ref,ESP32_Module_Pin,Label,Net,X_mm,Y_mm,Side
TPESP1,1,GND,GND,75.3,19.74,L
TPESP2,2,3V3,+3V3,75.3,21.01,L
TPESP3,3,EN,EN,75.3,22.28,L
TPESP4,4,IO4,GPIO4,75.3,23.55,L
TPESP5,5,IO5,GPIO5,75.3,24.82,L
TPESP6,6,IO6,GPIO6,75.3,26.09,L
TPESP7,7,IO7,GPIO7,75.3,27.36,L
TPESP8,8,IO15,GPIO15,75.3,28.63,L
TPESP9,9,IO16,GPIO16,75.3,29.9,L
TPESP10,10,IO17,GPIO17,75.3,31.17,L
TPESP11,11,IO18,GPIO18,75.3,32.44,L
TPESP12,12,IO8,GPIO8,75.3,33.71,L
TPESP13,13,USB_D-/IO19,USB_DN_MCU,75.3,34.98,L
TPESP14,14,USB_D+/IO20,USB_DP_MCU,75.3,36.25,L
TPESP15,15,IO3,GPIO3,78.015,38.28,B
TPESP16,16,IO46,GPIO46,79.285,38.45,B
TPESP17,17,IO9,GPIO9,80.555,38.45,B
TPESP18,18,IO10,GPIO10,81.825,38.45,B
TPESP19,19,IO11/MAXDO,MAX_DO,83.095,38.45,B
TPESP20,20,IO12/MAXCS,MAX_CS,84.365,38.45,B
TPESP21,21,IO13/MAXCLK,MAX_SCK,85.635,38.45,B
TPESP22,22,IO14,GPIO14,86.905,38.45,B
TPESP23,23,IO21,GPIO21,88.175,38.45,B
TPESP24,24,IO47,GPIO47,89.445,38.45,B
TPESP25,25,IO48,GPIO48,90.715,38.45,B
TPESP26,26,IO45,GPIO45,91.985,38.45,B
TPESP27,27,IO0/BOOT,BOOT,94.7,36.25,R
TPESP28,28,IO35,GPIO35,94.7,34.98,R
TPESP29,29,IO36,GPIO36,94.7,33.71,R
TPESP30,30,IO37,GPIO37,94.2,32.44,R
TPESP31,31,IO38,GPIO38,94.7,31.17,R
TPESP32,32,IO39,GPIO39,94.7,29.9,R
TPESP33,33,IO40,GPIO40,94.7,28.63,R
TPESP34,34,IO41,GPIO41,94.7,27.36,R
TPESP35,35,IO42,GPIO42,94.7,26.09,R
TPESP36,36,RXD0/IO44,RXD0_GPIO44,94.7,24.82,R
TPESP37,37,TXD0/IO43,TXD0_GPIO43,94.7,23.55,R
TPESP38,38,IO2/FAN,FAN_PWM,94.7,22.28,R
TPESP39,39,IO1/SSR,HEATER_PWM,94.7,21.01,R
TPESP40,40,GND,GND,94.7,19.74,R
