Ref,ESP32_Module_Pin,Label,Net,X_mm,Y_mm,Bank
PADESP1,1,GND,GND,62.5,21.5,L
PADESP2,2,3V3,+3V3,62.5,24.04,L
PADESP3,3,EN,EN,62.5,26.58,L
PADESP4,4,IO4,GPIO4,62.5,29.12,L
PADESP5,5,IO5,GPIO5,62.5,31.66,L
PADESP6,6,IO6,GPIO6,62.5,34.2,L
PADESP7,7,IO7,GPIO7,62.5,36.74,L
PADESP8,8,IO15,GPIO15,62.5,39.28,L
PADESP9,9,IO16,GPIO16,62.5,41.82,L
PADESP10,10,IO17,GPIO17,62.5,44.36,L
PADESP11,11,IO18,GPIO18,62.5,46.9,L
PADESP12,12,IO8,GPIO8,62.5,49.44,L
PADESP13,13,USB_D-,USB_DN_MCU,62.5,51.98,L
PADESP14,14,USB_D+,USB_DP_MCU,62.5,54.52,L
PADESP15,15,IO3,GPIO3,73.0,58.5,B
PADESP16,16,IO46,GPIO46,75.54,58.5,B
PADESP17,17,IO9,GPIO9,78.08,58.5,B
PADESP18,18,IO10,GPIO10,80.62,58.5,B
PADESP19,19,IO11,MAX_DO,83.16,58.5,B
PADESP20,20,IO12,MAX_CS,85.7,58.5,B
PADESP21,21,IO13,MAX_SCK,88.24,58.5,B
PADESP22,22,IO14,GPIO14,90.78,58.5,B
PADESP23,23,IO21,GPIO21,93.32,58.5,B
PADESP24,24,IO47,GPIO47,95.86,58.5,B
PADESP25,25,IO48,GPIO48,98.4,58.5,B
PADESP26,26,IO45,GPIO45,100.94,58.5,B
PADESP27,27,IO0,BOOT,108.0,54.52,R
PADESP28,28,IO35,GPIO35,108.0,51.98,R
PADESP29,29,IO36,GPIO36,108.25,49.44,R
PADESP30,30,IO37,GPIO37,108.0,46.9,R
PADESP31,31,IO38,GPIO38,108.0,44.36,R
PADESP32,32,IO39,GPIO39,108.0,41.82,R
PADESP33,33,IO40,GPIO40,108.0,39.28,R
PADESP34,34,IO41,GPIO41,108.0,36.74,R
PADESP35,35,IO42,GPIO42,108.0,34.2,R
PADESP36,36,RXD0,RXD0_GPIO44,108.0,31.66,R
PADESP37,37,TXD0,TXD0_GPIO43,108.0,29.12,R
PADESP38,38,IO2,FAN_PWM,108.0,26.58,R
PADESP39,39,IO1,HEATER_PWM,108.0,24.04,R
PADESP40,40,GND,GND,108.0,21.5,R
