Comment,Designator,Footprint,LCSC Part #
10uF_5V,C1,0805,C15850
10uF_3V3,C2,0805,C15850
100nF_MAX6675,C3,0805,C49678
100nF_U1_DECOUPLING_0603,C6,0603,C14663
100nF_U4_OUTPUT_DECOUPLING_0603,C7,0603,C14663
USB_C_Receptacle_XKB_U262-16XN-4BVC11,J5,USB-C receptacle XKB U262-16XN,C319148
2N7002_SSR_DRIVER,Q2,SOT-23,C8545
100R,R1,0805,C17408
100k,R2,0805,C149504
100R,R3,0805,C17408
100k,R4,0805,C149504
10k_EN_PULLUP,R5,0805,C17414
10k_BOOT_PULLUP,R6,0805,C17414
27R_USB_DN,R7,0805,C17594
27R_USB_DP,R8,0805,C17594
5k1_CC1_RD,R10,0805,C27834
5k1_CC2_RD,R11,0805,C27834
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1 module,C2913201
MAX6675_SOIC8_3V3,U2,SOIC-8,C16030
