Comment,Designator,Footprint,LCSC Part #
10uF_5V,C1,0805,C15850
10uF_3V3,C2,0805,C15850
100nF_MAX6675,C3,0805,C49678
100nF_U1_DECOUPLING_0603,C6,0603,C14663
100nF_U4_OUTPUT_DECOUPLING_0603,C7,0603,C14663
USB_C_Receptacle_XKB_U262-16XN-4BVC11,J5,USB-C receptacle XKB U262-16XN,C319148
2N7002_SSR_DRIVER,Q2,SOT-23,C8545
100R,R1,0805,C17408
100k,R2,0805,C149504
100R,R3,0805,C17408
100k,R4,0805,C149504
10k_EN_PULLUP,R5,0805,C17414
10k_BOOT_PULLUP,R6,0805,C17414
27R_USB_DN,R7,0805,C17594
27R_USB_DP,R8,0805,C17594
5k1_CC1_RD,R10,0805,C27834
5k1_CC2_RD,R11,0805,C27834
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1 module,C2913201
MAX6675_SOIC8_3V3,U2,SOIC-8,C16030
1nF_C0G_THERMO_DIFF_FILTER_DNP_IF_NOISY,C5,0805 candidate / VERIFY current footprint,C76625
SB560_FLYBACK,D1,DO-201AD / VERIFY,C139684
SMBJ33A_24V_INPUT_TVS,D2,SMB / VERIFY current footprint,C135067
SMBJ33A_FAN_TVS,D3,SMB / VERIFY current footprint,C135067
IRLB8721_OR_3V3_LOGIC_NMOS_RDS_ON_LOW,Q1,TO-220 / VERIFY,C153222
RESET_EN,SW1,6x6mm THT tactile / VERIFY,C92655
BOOT,SW2,6x6mm THT tactile / VERIFY,C92655
24V_TO_5V_BUCK_MODULE_>=1A_LOW_NOISE,U4,Pololu/module candidate / VERIFY footprint,C26689857
USBLC6-2SC6_OR_USB2_ESD,U5,SOT-23-6 candidate / VERIFY current custom footprint,C7519
