Designator,Mid X,Mid Y,Layer,Rotation
C1,61.0000,14.0000,Top,0.00
C2,76.0000,14.0000,Top,0.00
C3,91.0000,37.0000,Top,0.00
C6,73.2000,79.6000,Top,0.00
C7,53.0000,27.3000,Top,0.00
J5,154.0000,69.0000,Top,90.00
Q2,118.0000,30.0000,Top,0.00
R1,65.0000,52.0000,Top,0.00
R2,65.0000,48.0000,Top,0.00
R3,105.0000,78.0000,Top,0.00
R4,112.0000,74.0000,Top,0.00
R5,55.0000,68.0000,Top,0.00
R6,55.0000,64.0000,Top,0.00
R7,128.0000,73.0000,Top,0.00
R8,128.0000,69.0000,Top,0.00
R10,130.0000,64.0000,Top,0.00
R11,130.0000,60.0000,Top,0.00
U1,85.0000,72.0000,Top,0.00
U2,98.0000,45.0000,Top,0.00
C5,140.0000,53.0000,Top,0.00
D1,28.0000,52.0000,Top,0.00
D2,10.0000,73.8000,Top,0.00
D3,10.0000,57.0000,Top,0.00
Q1,45.0000,52.0000,Top,0.00
SW1,43.0000,68.0000,Top,0.00
SW2,43.0000,58.0000,Top,0.00
U4,36.0000,22.0000,Top,0.00
U5,133.7000,72.0000,Top,0.00
