Designator,Qty,Comment,Footprint,Manufacturer Part / Spec,Supplier Part Number,Assemble,Notes
C1,1,10uF_5V,0805,CL21A106KAYNNNE,C15850,YES,Basic JLCPCB 10uF 0805 ceramic; 5V bulk/decoupling.
C2,1,10uF_3V3,0805,CL21A106KAYNNNE,C15850,YES,Basic JLCPCB 10uF 0805 ceramic; 3V3 bulk/decoupling.
C3,1,100nF_MAX6675,0805,CC0805KRX7R9BB104,C49678,YES,Basic JLCPCB 100nF 0805 X7R 50V; MAX6675 decoupling.
J1,1,24V_IN_FROM_230V_PSU_3A,2-pin 5.08mm right-angle terminal block,WJ2EDGRC-5.08-02P-14-00A,C3697,YES,Y4 Max-PCBA candidate; 24V input from certified internal 24V PSU. JLC THT/Wave/Manual acceptance and orientation must be verified in preview.
J2,1,FAN_24V_PWM_3A,2-pin 5.08mm right-angle terminal block,WJ2EDGRC-5.08-02P-14-00A,C3697,YES,Y4 Max-PCBA candidate; 24V fan output. JLC THT/Wave/Manual acceptance and orientation must be verified in preview.
J3,1,SSR_INPUT_TO_EXTERNAL_SSR,2-pin 5.08mm right-angle terminal block,WJ2EDGRC-5.08-02P-14-00A,C3697,YES,Y4 Max-PCBA candidate; external SSR input/output terminal. JLC THT/Wave/Manual acceptance and orientation must be verified in preview.
J4,1,K_TYPE_THERMOCOUPLE,2-pin 5.08mm right-angle terminal block,WJ2EDGRC-5.08-02P-14-00A,C3697,YES,Y4 Max-PCBA candidate; K-type thermocouple terminal. JLC THT/Wave/Manual acceptance and orientation must be verified in preview.
J5,1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,USB-C receptacle XKB U262-16XN,U262-16 1 N-4BVC11,C319148,YES,Extended JLCPCB part; verify orientation in the PCBA preview.
Q2,1,2N7002_SSR_DRIVER,SOT-23,2N7002,C8545,YES,Basic JLCPCB part; SSR low-side driver.
Q1,1,IRLB8721_OR_3V3_LOGIC_NMOS_RDS_ON_LOW,TO-220AB,IRLB4030PBF,C2663,YES,"Y4 Max-PCBA candidate; Infineon IRLB4030PBF 100V logic-level TO-220AB fan MOSFET. Pinout G-D-S matches Q1 pads FAN_GATE/FAN_NEG/GND. JLC THT/TO-220 acceptance, body orientation and surcharge must be verified in preview; thermally verify with the real fan."
R1,1,100R,0805,0805W8F1000T5E,C17408,YES,Basic JLCPCB 100R 0805 1%; fan gate resistor.
R2,1,100k,0805,0805W8F1003T5E,C149504,YES,Basic JLCPCB 100k 0805 1%; fan gate pulldown.
R3,1,100R,0805,0805W8F1000T5E,C17408,YES,Basic JLCPCB 100R 0805 1%; SSR gate resistor.
R4,1,100k,0805,0805W8F1003T5E,C149504,YES,Basic JLCPCB 100k 0805 1%; SSR gate pulldown.
R5,1,10k_EN_PULLUP,0805,0805W8F1002T5E,C17414,YES,Basic JLCPCB 10k 0805 1%; EN pullup.
R6,1,10k_BOOT_PULLUP,0805,0805W8F1002T5E,C17414,YES,Basic JLCPCB 10k 0805 1%; BOOT pullup.
R7,1,27R_USB_DN,0805,0805W8F270JT5E,C17594,YES,JLC promotional/basic-equivalent 27R 0805; USB D- series resistor.
R8,1,27R_USB_DP,0805,0805W8F270JT5E,C17594,YES,JLC promotional/basic-equivalent 27R 0805; USB D+ series resistor.
R10,1,5k1_CC1_RD,0805,0805W8F5101T5E,C27834,YES,Basic JLCPCB 5.1k 0805 1%; USB-C CC1 Rd.
R11,1,5k1_CC2_RD,0805,0805W8F5101T5E,C27834,YES,Basic JLCPCB 5.1k 0805 1%; USB-C CC2 Rd.
U1,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1 module,ESP32-S3-WROOM-1-N8R8,C2913201,YES,Extended JLCPCB part; confirm module variant/flash/PSRAM and antenna keepout before order.
U2,1,MAX6675_SOIC8_3V3,SOIC-8,MAX6675ISA+T,C16030,YES,Extended JLCPCB part; 3.3V thermocouple converter.
