Designator,Mid X,Mid Y,Layer,Rotation
C1,61.0000,14.0000,Top,0.00
C2,76.0000,14.0000,Top,0.00
C3,91.0000,37.0000,Top,0.00
J1,10.0000,82.0000,Top,0.00
J2,10.0000,52.0000,Top,0.00
J3,140.0000,30.0000,Top,0.00
J4,140.0000,48.0000,Top,0.00
J5,145.0000,69.0000,Top,90.00
Q2,118.0000,30.0000,Top,0.00
Q1,45.0000,52.0000,Top,0.00
R1,65.0000,52.0000,Top,0.00
R2,65.0000,48.0000,Top,0.00
R3,105.0000,78.0000,Top,0.00
R4,112.0000,74.0000,Top,0.00
R5,55.0000,68.0000,Top,0.00
R6,55.0000,64.0000,Top,0.00
R7,128.0000,73.0000,Top,0.00
R8,128.0000,69.0000,Top,0.00
R10,130.0000,64.0000,Top,0.00
R11,130.0000,60.0000,Top,0.00
U1,85.0000,75.0000,Top,0.00
U2,98.0000,45.0000,Top,0.00
