Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF_5V","",61.000000,-86.000000,0.000000,top
"C2","10uF_3V3","",76.000000,-86.000000,0.000000,top
"C3","100nF_MAX6675","",91.000000,-63.000000,0.000000,top
"C4","220uF_35V_INPUT_BULK","",10.000000,-23.200000,0.000000,top
"C5","1nF_C0G_THERMO_DIFF_FILTER_DNP_IF_NOISY","",140.000000,-47.000000,0.000000,top
"C6","100nF_U1_DECOUPLING_0603","",73.200000,-20.400000,0.000000,top
"C7","100nF_U4_OUTPUT_DECOUPLING_0603","",53.000000,-72.700000,0.000000,top
"D1","SB560_FLYBACK","",28.000000,-48.000000,0.000000,top
"D2","SMBJ33A_24V_INPUT_TVS","",10.000000,-26.200000,0.000000,top
"D3","SMBJ33A_FAN_TVS","",10.000000,-43.000000,0.000000,top
"F1","T3.15A_24V_SIDE","",32.000000,-18.000000,0.000000,top
"J1","24V_IN_FROM_230V_PSU_3A","",10.000000,-18.000000,0.000000,top
"J2","FAN_24V_PWM_3A","",10.000000,-48.000000,0.000000,top
"J3","SSR_INPUT_TO_EXTERNAL_SSR","",140.000000,-70.000000,0.000000,top
"J4","K_TYPE_THERMOCOUPLE","",140.000000,-52.000000,0.000000,top
"J5","USB_C_Receptacle_XKB_U262-16XN-4BVC11","USB_C_Receptacle_XKB_U262-16XN-4BVC11",154.000000,-31.000000,90.000000,top
"JGPIO1","ESP32_GPIO_BREAKOUT_ROW","ESP32_GPIO_BREAKOUT_ROW",110.350000,-92.000000,0.000000,top
"Q1","IRLB8721_OR_3V3_LOGIC_NMOS_RDS_ON_LOW","",45.000000,-48.000000,0.000000,top
"Q2","2N7002_SSR_DRIVER","",118.000000,-70.000000,0.000000,top
"R1","100R","",65.000000,-48.000000,0.000000,top
"R2","100k","",65.000000,-52.000000,0.000000,top
"R3","100R","",105.000000,-22.000000,0.000000,top
"R4","100k","",112.000000,-26.000000,0.000000,top
"R5","10k_EN_PULLUP","",55.000000,-32.000000,0.000000,top
"R6","10k_BOOT_PULLUP","",55.000000,-36.000000,0.000000,top
"R7","27R_USB_DN","",128.000000,-27.000000,0.000000,top
"R8","27R_USB_DP","",128.000000,-31.000000,0.000000,top
"R10","5k1_CC1_RD","",130.000000,-36.000000,0.000000,top
"R11","5k1_CC2_RD","",130.000000,-40.000000,0.000000,top
"SW1","RESET_EN","",43.000000,-32.000000,0.000000,top
"SW2","BOOT","",43.000000,-42.000000,0.000000,top
"TP3V3","+3V3_TEST","",72.000000,-76.000000,0.000000,top
"TP5V","+5V_TEST","",50.000000,-72.000000,0.000000,top
"TP24V","+24V_FUSED_TEST","",22.000000,-72.000000,0.000000,top
"TPESP1","GND","",75.300000,-19.740000,0.000000,top
"TPESP2","3V3","",75.300000,-21.010000,0.000000,top
"TPESP3","EN","",75.300000,-22.280000,0.000000,top
"TPESP4","IO4","",75.300000,-23.550000,0.000000,top
"TPESP5","IO5","",75.300000,-24.820000,0.000000,top
"TPESP6","IO6","",75.300000,-26.090000,0.000000,top
"TPESP7","IO7","",75.300000,-27.360000,0.000000,top
"TPESP8","IO15","",75.300000,-28.630000,0.000000,top
"TPESP9","IO16","",75.300000,-29.900000,0.000000,top
"TPESP10","IO17","",75.300000,-31.170000,0.000000,top
"TPESP11","IO18","",75.300000,-32.439999,0.000000,top
"TPESP12","IO8","",75.300000,-33.710000,0.000000,top
"TPESP13","USB_D-/IO19","",75.300000,-34.980000,0.000000,top
"TPESP14","USB_D+/IO20","",75.300000,-36.250000,0.000000,top
"TPESP15","IO3","",78.015000,-38.280000,0.000000,top
"TPESP16","IO46","",79.285000,-38.450000,0.000000,top
"TPESP17","IO9","",80.555000,-38.450000,0.000000,top
"TPESP18","IO10","",81.825000,-38.450000,0.000000,top
"TPESP19","IO11/MAXDO","",83.095000,-38.450000,0.000000,top
"TPESP20","IO12/MAXCS","",84.365000,-38.450000,0.000000,top
"TPESP21","IO13/MAXCLK","",85.635000,-38.450000,0.000000,top
"TPESP22","IO14","",86.905000,-38.450000,0.000000,top
"TPESP23","IO21","",88.175000,-38.450000,0.000000,top
"TPESP24","IO47","",89.445000,-38.450000,0.000000,top
"TPESP25","IO48","",90.715000,-38.450000,0.000000,top
"TPESP26","IO45","",91.985000,-38.450000,0.000000,top
"TPESP27","IO0/BOOT","",94.700000,-36.250000,0.000000,top
"TPESP28","IO35","",94.700000,-34.980000,0.000000,top
"TPESP29","IO36","",94.700000,-33.710000,0.000000,top
"TPESP30","IO37","",94.200000,-32.439999,0.000000,top
"TPESP31","IO38","",94.700000,-31.170000,0.000000,top
"TPESP32","IO39","",94.700000,-29.900000,0.000000,top
"TPESP33","IO40","",94.700000,-28.630000,0.000000,top
"TPESP34","IO41","",94.700000,-27.360000,0.000000,top
